Title,Director,Actors
The Battleship Island,Ryoo Seung-wan,Hwang Jung-min --- So Ji-sub --- Song Joong-ki --- Lee Jung-hyun --- Kim Soo-an --- Yoon Dae-Yul --- ,
Threesome,Nicolas Monette,Mélissa Désormeaux-Poulin --- Martin Matte --- Bénédicte Décary --- Geneviève Schmidt --- Anne-Élisabeth Bossé --- Karine Gonthier-Hyndman --- Rémi-Pierre Paquin --- Julianne Côté --- Catherine Bérubé --- Mylène Mackay --- Martin Laroche --- Pierre Brassard --- Florence Longpré --- Igor Ovadis --- Romane Martins --- Daniel Parent --- Myriam LeBlanc --- Stéphan Allard --- Daniel Malenfant --- Marc-André Boire --- Sacha Bourque --- Marie-Lyne Joncas --- Rosalie Vaillancourt --- Katrine Duhaime --- Jean-Moïse Martin --- Jean-Marc Dalphond --- Carmen Ferland --- Patrice Martre --- Claudiane Ruelland --- Joanie Darveau --- Alain Nadro --- Annabelle Bouchard --- Martin Bédard --- Serge Boulianne --- Neil James Elias --- Stéphanie Bacon --- Alexiane Simard --- Caroline S. Rousseau --- Émilie Leclerc --- Jacinthe Benoit --- Sylvio Arriola --- Ève Sévigny --- Leïla Thibeault-Louchem --- Simon Pelletier-Gilbert --- Jean-René Moisan --- ,
Based on a True Story,Roman Polański,Emmanuelle Seigner --- Eva Green --- Vincent Pérez --- Camille Chamoux --- Dominique Pinon --- Josée Dayan --- Brigitte Roüan --- Damien Bonnard --- Noémie Lvovsky --- Mathilde Ripley --- ,
Cinderella the Cat,Ivan Cappiello,Marino Guarnieri,Alessandro Rak,Dario Sansone,Massimiliano Gallo --- Maria Pia Calzone --- Alessandro Gassman --- Daniele Bigliardo --- Marino Guarnieri --- Renato Carpentieri --- Antonio Brachi --- Mariacarla Norall --- Chiara Baffi --- Francesca Romana Bergamo --- Anna Trieste --- Federica Altamura --- Ciro Capriello --- Marco Mario De Notaris --- Mariano Rigillo --- Gino Fastidio --- ,
It's for Your Own Good,Carlos Therón,José Coronado --- Javier Cámara --- Roberto �?lamo --- Pilar Castro --- Carmen Ruiz --- Silvia Alonso --- Andrea Ros --- Georgina Amorós --- Miki Esparbé --- María Pujalte --- Miguel Bernardeau --- Luis Mottola --- ,
The Last Word,Mark Pellington,Shirley MacLaine --- Amanda Seyfried --- Anne Heche --- Thomas Sadoski --- Philip Baker Hall --- Adina Porter --- Sarah Baker --- Tom Everett Scott --- Gedde Watanabe --- Joel Murray --- Marshall Bell --- Steven Culp --- Basil Hoffman --- Nikki McCauley --- Valeri Ross --- Alanna Ubach --- AnnJewel Lee Dixon --- Marcy Jarreau --- Brooke Trantor --- Joshua Harto --- Yvette Freeman --- Todd Louiso --- Chloe Wepper --- Jesse Burch --- Natalija Nogulich --- Bill Glass --- Millicent Martin --- John Billingsley --- James Tupper --- Nicole Fazio --- Juan Jose Dubon --- J. Denise --- ,
It’s the Law,Salvatore Ficarra,Valentino Picone,Salvatore Ficarra --- Valentino Picone --- Vincenzo Amato --- Tony Sperandeo --- Leo Gullotta --- Sergio Friscia --- Antonio Catania --- Gaetano Bruno --- Eleonora De Luca --- Ersilia Lombardo --- Francesco Benigno --- Alessandro Roja --- Vincenzo Ferrera --- Alessandro Ajello --- Paride Benassai --- ,
Maudie,Aisling Walsh,Sally Hawkins --- Ethan Hawke --- Gabrielle Rose --- Billy MacLellan --- Zachary Bennett --- Kari Matchett --- David Feehan --- Lawrence Barry --- Marthe Bernard --- Greg Malone --- Nik Sexton --- Brian Marler --- Denise Sinnott --- Mike Daly --- Judy Hancock --- Lisa Machin --- ,
Back to Burgundy,Cédric Klapisch,Pio Marmaï --- Ana Girardot --- François Civil --- Jean-Marc Roulot --- María Valverde --- Karidja Touré --- Yamée Couture --- Jean-Marie Winling --- Florence Pernel --- Éric Caravaca --- Tewfik Jallab --- Bruno Raffaelli --- Eric Bougnon --- Marina Tomé --- ,
November,Rainer Sarnet,Rea Lest --- Jörgen Liik --- Arvo Kukumägi --- Katariina Unt --- Taavi Eelmaa --- ,
The Mansion,Tony T. Datis,Kemar --- Natoo --- Yvick Letexier --- Ludovik --- Vanessa Guide --- Jérôme Niel --- Vincent Tirel --- Delphine Baril --- Lila Lacombe --- Baptiste Lorber --- ,
Jackals,Kevin Greutert,Stephen Dorff --- Johnathon Schaech --- Deborah Kara Unger --- Nick Roux --- Alyssa Julia Smith --- Chelsea Ricketts --- Ben Sullivan --- Jason Scott Jenkins --- Cassie Hernandez --- Alex Kingi --- Alex Castillo --- Carol Abney --- ,
The Place,Paolo Genovese,Valerio Mastandrea --- Alba Rohrwacher --- Sabrina Ferilli --- Marco Giallini --- Alessandro Borghi --- Silvio Muccino --- Vittoria Puccini --- Silvia D'Amico Bendico --- Rocco Papaleo --- Giulia Lazzarini --- Vinicio Marchioni --- ,
All I See Is You,Marc Forster,Blake Lively --- Jason Clarke --- Ahna O'Reilly --- Miquel Fernández --- Xavi Sánchez --- Yvonne Strahovski --- Wes Chatham --- Danny Huston --- Kaitlin Orem --- Stasee Vatanapan --- Sirinya Bishop --- Bonnie Zellerbach --- Sahajak Boonthanakit --- Johanna Wallmeier --- Paula Allen --- Lucy Lummis --- Stephan Wiks --- Carmen Flores --- Jordi Llovet --- Suman C. Tharan --- ,
Patti Cake$,Geremy Jasper,Danielle Macdonald --- Bridget Everett --- Siddharth Dhananjay --- Mamoudou Athie --- Cathy Moriarty --- McCaul Lombardi --- Patrick Brana --- Wass Stevens --- Adam Scarimbolo --- John Sharian --- Ray Iannicelli --- Sahr Ngaujah --- Warren Bub --- Dylan Blue --- Alexandra Moruzzi --- Kirk Knight --- Anthony Ramos --- ,
Tubelight,Kabir Khan,Salman Khan --- Zhu Zhu --- Sohail Khan --- Om Puri --- Yashpal Sharma --- Shah Rukh Khan --- Raghuvir Yadav --- Mohammed Zeeshan Ayyub --- Matin Rey Tangu --- ,
If I Were a Boy,Audrey Dana,Audrey Dana --- Christian Clavier --- Eric Elmosnino --- Alice Belaïdi --- Joséphine Drai --- Antoine Gouy --- Jézabel Marques --- Johanne Toledano --- Guillaume Delaunay --- Jérôme Paquatte --- Jérôme Pouly --- Bertrand Usclat --- Johann Cuny --- Moustafa Benaibout --- Gilles Lemaire --- Guerassim Dichliev --- Simon Aouizerate --- Charlotte Marquardt --- Maya Racha --- ,
Ghost House,Rich Ragsdale,Scout Taylor-Compton --- James Landry Hébert --- Mark Boone Junior --- Michael S. New --- Elana Krausz --- Katrina Grey --- Russell Geoffrey Banks --- Rich Lee Gray --- Kevin Ragsdale --- Wen-Chu Yang --- ,
The Captain,Robert Schwentke,Max Hubacher --- Milan Peschel --- Frederick Lau --- Marko Dyrlich --- David Scheller --- Sebastian Rudolph --- Blerim Destani --- Haymon Maria Buttinger --- Annina Polivka --- Britta Hammelstein --- Waldemar Kobus --- Eugenie Anselin --- Shannon Staller --- Alexander Fehling --- Christian Wagner --- Samuel Finzi --- Alexander Hörbe --- Wolfram Koch --- Bernd Hölscher --- Sascha Alexander Geršak --- Hendrik Arnst --- Harald Warmbrunn --- Jörn Hentschel --- Rike Eckermann --- Jan Georg Schütte --- ,
The Truth About Love Is...,Max Croci,Ambra Angiolini --- Carolina Crescentini --- Massimo Poggio --- Edoardo Pesce --- Pia Engleberth --- Giuliana De Sio --- Gabriele Anagni --- Giulia Salemi --- ,
Doraemon the Movie 2017: Nobita's Great Adventure in the Antarctic Kachi Kochi,Atsushi Takahashi,Wasabi Mizuta --- Megumi Ohara --- Yumi Kakazu --- Tomokazu Seki --- Subaru Kimura --- Chiaki --- Kotono Mitsuishi --- Namikawa Daisuke --- Yasunori Matsumoto --- Rie Kugimiya --- Masumi Yagi --- Shigeo Takahashi --- Aya Endo --- Nao Touyama --- Ayaka Hirahara --- Mai Asada --- Nobunari Oda --- ,
God's Own Country,Francis Lee,Josh O'Connor --- Alec Secareanu --- Ian Hart --- Gemma Jones --- Patsy Ferran --- Naveed Choudhry --- Stefan Dermendjiev --- Moey Hassan --- Melanie Kilburn --- John McCrea --- Harry Lister Smith --- Alexander Suvandjiev --- Liam Thomas --- Sarah White --- ,
I Don't Feel at Home in This World Anymore,Macon Blair,Melanie Lynskey --- Elijah Wood --- David Yow --- Jane Levy --- Devon Graye --- Christine Woods --- Robert Longstreet --- Gary Anthony Williams --- Jason Manuel Olazabal --- Jana Lee Hamblin --- Macon Blair --- Ray Mist --- Jeb Berrier --- Robin Blair --- Myron Natwick --- Michelle Moreno --- Chris Doubek --- Marilyn Faith Hickey --- Jared Roylance --- Lee Eddy --- Taylor Tunes --- Derek Mears --- Asha Sawyer --- Kayla Dixon --- Matt Orduna --- Sharae Foxie --- Lana Dieterich --- Maxwell Hamilton --- J.J. Green --- Audrey Walker --- ,
Mersal,Atlee,Vijay --- Kajal Agarwal --- Samantha Akkineni --- Nithya Menen --- S. J. Surya --- Sathyaraj --- Vadivelu --- Sathyan Sivakumar --- Kovai Sarala --- Hareesh Peradi --- Misha Ghoshal --- Yogi Babu --- Rajendran --- Kaali Venkat --- Devadarshini --- Surekha Vani --- Sangili Murugan --- Boxer Dheena --- M.Kamaraj --- Mamilla Shailaja Priya --- Kaali Venkat --- ,
Cries from Syria,Evgeny Afineevsky,Hadi Al Abdullah --- Raed Al Saleh --- Helen Mirren --- ,
Closest Love To Heaven,Taisuke  Kawamura,Taishi Nakagawa --- Marie Iitoyo --- Shono Hayama --- Yuna Taira --- Kohki Okada --- Rieko Miura --- Ken Yasuda --- Sho Kasamatsu --- Sei Shiraishi --- ,
Icarus,Bryan Fogel,Bryan Fogel --- Grigory Rodchenkov --- Nikita Kamaev --- Dan Cogan --- Victor Webster --- ,
Marry Me, Dude,Tarek Boudali,Tarek Boudali --- Philippe Lacheau --- Charlotte Gabris --- David Marsais --- Julien Arruti --- Philippe Duquesne --- Jonathan Louis --- Sissi Duparc --- Doudou Masta --- Nadia Kounda --- Manuel Blanch --- Andy Raconte --- Ricky Tribord --- ,
Pinjamkan Hatiku,Ayda Jebat --- Shaheizy Sam --- Farid Kamil --- Lia Natalia --- Normah Damanhuri --- ,
Murder, She Baked: Just Desserts,Kristoffer Tabori,Alison Sweeney --- Cameron Mathison --- Barbara Niven --- Gabriel Hogan --- Lisa Durupt --- Toby Levins --- David Lewis --- Tammy Gillis --- Kurt Evans --- Karen Holness --- Kate Isaac --- Viv Leacock --- Marco Soriano --- James Rittinger --- Jason McKinnon --- Adrian Neblett --- Ken Camroux-Taylor --- Sean Hewlett --- Chris Robson --- Juliana Wimbles --- Jillian Fargey --- Beverley Breuer --- Rebecca Toolan --- Elfina Luk --- Pippa Mackie --- Greg Harper --- Lucie Guest --- Paul Batten --- Matt Visser --- ,
Lemon,Janicza Bravo,Brett Gelman --- Judy Greer --- Michael Cera --- Nia Long --- Shiri Appleby --- Fred Melamed --- Gillian Jacobs --- Rhea Perlman --- Martin Starr --- David Paymer --- Megan Mullally --- Джоди Смит --- ,
Escape Room,Will Wernick,Evan Williams --- Annabelle Stephenson --- Elisabeth Hower --- Dan J. Johnson --- John Ierardi --- Kelly Delson --- Iris Avalee --- ,
Jerry Before Seinfeld,Michael Bonfiglio,Jerry Seinfeld --- Johnny Carson --- Mark Schiff --- Jimmy Brogan --- Andy Kaufman --- Ed Koch --- Jay Leno --- ,
The Spacewalker,Dmitriy Kiselev,Evgeny Mironov --- Konstantin Khabenskiy --- Vladimir Ilin --- Anatoliy Kotenyov --- Aleksandra Ursulyak --- Elena Panova --- Aleksandr Ilin --- Yuriy Itskov --- Kirill Poluhin --- Vitaliya Kornienko --- Saveliy Kudryashov --- Alexandr Filatov --- Sergey Galakhov --- ,
Cold Zone,John MacCarthy,Martin Cummins --- Kristen Robek --- Sam Desjardins --- Steve Bacic --- Nick Purcha --- Daniel Boileau --- Sarah Desjardins --- Darcy Laurie --- Melanie McLaren --- Sarah-Jane Redmond --- Christian Sloan --- Barbara Wallace --- ,
Prevenge,Alice Lowe,Alice Lowe --- Jo Hartley --- Kate Dickie --- Gemma Whelan --- Kayvan Novak --- Tom Davis --- Daniel Renton Skinner --- Eileen Davies --- Grace Calder --- Mike Wozniak --- Tom Meeten --- Marc Bessant --- Leila Hoffman --- Sara Dee --- David Puckridge --- Della Moon Synnott --- ,
Tom of Finland,Dome Karukoski,Pekka Strang --- Lauri Tilkanen --- Jakob Oftebro --- Werner Daehn --- Christian Sandström --- Niklas Hogner --- Jessica Grabowsky --- Taisto Oksanen  --- Seumas F. Sargent --- Martin Bahne --- ,
The Brigade,Pierre Jolivet,Roschdy Zem --- Émilie Dequenne --- Michaël Abiteboul --- Guillaume Labbé --- Grégoire Isvarine --- Guillaume Douat --- Brian Messina --- ,
The Vault,Dan Bush,James Franco --- Taryn Manning --- Francesca Eastwood --- Scott Haze --- Q'orianka Kilcher --- Jeff Gum --- Clifton Collins Jr. --- Keith Loneker --- Jill Jane Clements --- Michael Milford --- Debbie Sherman --- Lee Broda --- Anthony DiRocco --- Dmitry Paniotto --- Beatrice Hernandez --- Adina Galupa --- Jessica DeBonville --- Rodney Luis Aquino --- Aleksander Vayshelboym --- Conal Byrne --- Cristin Azure --- Maria Breese --- Rebecca Ray --- John D. Hickman --- Robin Martino --- ,
Tout nous sépare,Thierry Klifa,Catherine Deneuve --- Diane Kruger --- Nekfeu --- Nicolas Duvauchelle --- Sébastien Houbani --- Michaël Cohen --- Olivier Loustau --- Brigitte Sy --- Julia Faure --- Elizabeth Mazev --- Virgile Bramly --- ,
Happy End,Michael Haneke,Isabelle Huppert --- Jean-Louis Trintignant --- Mathieu Kassovitz --- Fantine Harduin --- Toby Jones --- Franz Rogowski --- Laura Verlinden --- Nabiha Akkari --- Loubna Abidar --- Dominique Besnehard --- Jackee Toto --- Hassam Ghancy --- David El Hakim --- Jack Claudany --- ,
A Taxi Driver,Jang Hoon,Song Kang-ho --- Thomas Kretschmann --- Yoo Hae-jin --- Ryu Jun-yeol --- Park Hyuk-kwon --- Ko Chang-seok --- Jeon Hye-jin --- Choi Gwi-hwa --- Um Tae-goo --- Daniel Joey Albright --- ,
Victoria & Abdul,Stephen Frears,Judi Dench --- Ali Fazal --- Tim Pigott-Smith --- Eddie Izzard --- Adeel Akhtar --- Michael Gambon --- Paul Higgins --- Olivia Williams --- Fenella Woolgar --- Julian Wadham --- Jonathan Harden --- Robin Soans --- Ruth McCabe --- Simon Callow --- Benjamin Haigh --- Lasco Atkins --- Will Christopherson --- Martyn Mayger --- Deano Bugatti --- Paul Redfern --- Ashley Hudson --- Penny Ryder --- Christopher McMullen --- Rita McDonald Damper --- Sukh Ojla --- Grant Crookes --- Shaun Newnham --- Nigel Black --- Sophie Trott --- James Thomas Scott --- Andrei Csolsim --- Glyn Angell --- Lois Temel --- Marek Hollands --- Nicolas Savidis-Macris --- Simon Craddock --- Tim Bristow --- Cliff Dutton --- Martin McGilligan --- Benjamin Murrell --- Daniel Trevenna --- Stuart Whelan --- ,
Boo 2! A Madea Halloween,Tyler Perry,Tyler Perry --- Cassi Davis --- Diamond White --- Yousef Erakat --- Patrice Lovely --- Brock O'Hurn --- Inanna Sarkis --- Lexy Panterra --- Tito Ortiz --- Jc Caylen --- Mike Tornabene --- Kian Lawley --- Barry Stoltze --- Dee Dubois --- Kenneth Derise Walker --- Jermaine Holt --- Aden Stay --- ,
Love Blossoms,Jonathan Wright,Shantel VanSanten --- Victor Webster --- Callum Blue --- Brittany Bristow --- Jonathan Sawdon --- Bobbie Phillips --- Emma Samms --- ,
Wonder Wheel,Woody Allen,Kate Winslet --- Juno Temple --- Justin Timberlake --- James Belushi --- Max Casella --- Geneva Carr --- David Krumholtz --- Tony Sirico --- Steve Schirripa --- Bobby Slayton --- Gregory Dann --- Bobby Slayton --- John Doumanian --- Robert C. Kirk --- Maddie Corman --- Debi Mazar --- Tom Guiry --- Ed Jewett --- Jenna Stern --- John Mainieri --- Candice A. Buenrostro --- Marko Caka --- Amelie McKendry --- Tod Rainey --- Jillian Shields --- Nancy Ellen Shore --- Dominic Albano --- Matthew Maher --- Michael Zegarski --- Jack Gore --- Jacob Berger --- Tommy Nohilly --- Danielle Ferland --- Jacob Berger --- Michael Striano --- Cooper Carrell --- John Druzba --- Neil Fleischer --- Brittini Schreiber --- Hannah Hartwell --- Haley Klausmeyer --- Frankie Petrosino --- Olivia Twarowski --- Max Ripley --- Vincent Paolicelli --- Gregory O Nicolas --- Julia Losner --- Evin Cross --- John Michael Bradshaw --- Jeremy Francis Bell --- Marshall Axt --- Ziada Zienna --- Marie Smalley --- ,
Bar Boys,Kip Oebanda,Carlo Aquino --- Kean Cipriano --- Enzo Pineda --- Rocco Nacino --- Anna Luna --- Mailes Kanapi --- Sebastian Castro --- Hazel Faith Dela Cruz --- Pontri Bernardo --- Maey Bautista --- Rener Concepcion --- Irene Celebre --- Vance Larena --- Lharby Policarpio --- Odette Khan --- ,
Night Is Short, Walk on Girl,Masaaki Yuasa,Gen Hoshino --- Kana Hanazawa --- Aoi Yuki --- Hiroshi Kamiya --- Hiroyuki Yoshino --- Junichi Suwabe --- Kazuhiro Yamaji --- Kazuya Nakai --- Mugihito --- Nobuyuki Hiyama --- Ryuuji Akiyama --- Seiko Niizuma --- Yuko Kaida --- ,
The Hero,Brett Haley,Sam Elliott --- Laura Prepon --- Nick Offerman --- Krysten Ritter --- Katharine Ross --- Doug Cox --- Max Gail --- Jackie Joyner --- Patrika Darbo --- Ali Wong --- Frank Collison --- Andy Allo --- Cameron Esposito --- Linda Lee McBride --- Christopher May --- Todd Giebenhain --- Demetrios Saites --- Norman De Buck --- Barbara Scolaro --- Ryan Sweeney --- ,
Landline,Gillian Robespierre,Jenny Slate --- Edie Falco --- Abby Quinn --- John Turturro --- Jay Duplass --- Finn Wittrock --- Marquis Rodriguez --- India Salvor Menuez --- Amy Carlson --- Jordan Carlos --- Ali Ahn --- Mike Massimino --- Charlotte Ubben --- Eric Tabach --- Noah Tully Sanderson --- Raffaella Meloni --- Sam Freed --- Inna Muratova --- Dylan Prince --- Katrina E. Perkins --- Bernard Bygott --- Samuel Stricklen --- JaQuinley Kerr --- ,
Crystal Inferno,Éric Summer,Claire Forlani --- Nigel Barber --- Lorina Kamburova --- Jamie Bamber --- Atanas Srebrev --- Riley Jackson --- Isaac Rouse --- ,
Pottersville,Seth Henrikson,Michael Shannon --- Judy Greer --- Thomas Lennon --- Ron Perlman --- Christina Hendricks --- Ian McShane --- Michael Torpey --- Blake Perlman --- Elena Hurst --- Timothy Davis-Reed --- Mary Marquiss Ashley --- Julian Lerner --- Debargo Sanyal --- Greta Lee --- Viola Ransel --- Ruth Ransel --- Thomas Hoe --- Collin Crook --- Kenn Watt --- ,
Barbara,Mathieu Amalric,Jeanne Balibar --- Mathieu Amalric --- Vincent Peirani --- Aurore Clément --- Grégoire Colin --- Jonathan Boudina --- ,
Rock'n Roll,Guillaume Canet,Guillaume Canet --- Marion Cotillard --- Gilles Lellouche --- Philippe Lefebvre --- Camille Rowe --- Kev Adams --- Ben Foster --- Johnny Hallyday --- Fanny Ardant --- Yvan Attal --- Guillaume Faure --- Xavier Alcan --- Norbert Ferrer --- Hugo Dillon --- Jeanne Damas --- Evelyne Bonneau --- Nadja Settel --- Laeticia Hallyday --- Alexandra Mercouroff --- Pierre-Benoist Varoclier --- Paloma Coquant --- Toussaint Martinetti --- Alain Attal --- Yvonne Gradelet --- Yarol Poupaud --- Fabrice Feltzinger --- ,
Trevor Noah: Afraid of the Dark,David Paul Meyer,Trevor Noah --- ,
Empire of the Sharks,Mark Atkins,John Savage --- Jack Tompkins --- Thandi Sebe --- Ashley de Lange --- Leandie du Randt --- Tauriq Jenkins --- Tapiwa Musvosvi --- Camilla Waldman --- Jonathan Pienaar --- Joe Vaz --- Sandi Schultz --- Mélodie Abad --- Tshamano Sebe --- Brandon Auret --- Philip Tan --- Dorian Holdren --- Neels Van Jaarsveld --- ,
Godard Mon Amour,Michel Hazanavicius,Louis Garrel --- Stacy Martin --- Bérénice Bejo --- Micha Lescot --- Grégory Gadebois --- Félix Kysyl --- Arthur Orcier --- Marc Fraize --- Guido Caprino --- Emmanuele Aita --- Matteo Martari --- Stéphane Varupenne --- Philippe Girard --- Quentin Dolmaire --- Romain Goupil --- Jean-Pierre Mocky --- Michel Subor --- Louise Legendre --- Marc Brun Adryan' --- Eric Marcel --- Eva Chico --- Nicolas Dussaut --- Michel Hazanavicius --- Fabien Hagège --- Lola Ingrid Le Roch --- ,
Gun Shy,Simon West,Antonio Banderas --- Olga Kurylenko --- Mark Valley --- Martin Dingle-Wall --- Ben Cura --- Aisling Loftus --- David Mitchell --- Fernando Godoy --- Jeremy Swift --- Anna Francolini --- Ellie Goffe --- Milanka Brooks --- Jesse Johnson --- Emiliano Jofre --- Sebastián Apiolaza --- Felipe Contreras --- Santiago Rodríguez --- Cristián Campos --- ,
The Hatred,Michael G. Kehoe,Sarah Davenport --- Andrew Divoff --- Darby Walker --- Nina Siemaszko --- Shae Smolik --- Gabrielle Bourne --- Bayley Corman --- Alisha Wainwright --- David Naughton --- Amanda Wyss --- Musetta Vander --- Tim DeZarn --- Ronnie Gene Blevins --- Nancy Linehan Charles --- ,
Four Christmases and a Wedding,Marita Grabiak,Arielle Kebbel --- Madison Smith --- Markie Post --- Donna Benedicto --- Cassidy Nugent --- Judge Reinhold --- Courtney Richter --- ,
68 Kill,Trent Haaga,Matthew Gray Gubler --- AnnaLynne McCord --- Alisha Boe --- Sheila Vand --- Sam Eidson --- Lucy Faust --- Eric Podnar --- Hallie Grace Bradley --- James Moses Black --- Michael Beasley --- Peter Jaymes --- David Maldonado --- Ajay Mehta --- Kelly Connolly --- ,
Ravenous,Robin Aubert,Marc-André Grondin --- Monia Chokri --- Charlotte St-Martin --- Micheline Lanctôt --- Marie-Ginette Guay --- Brigitte Poupart --- Édouard Tremblay-Grenier --- Luc Proulx --- Didier Lucien --- Robert Brouillette --- Martin Héroux --- Patrick Hivon --- ,
Atomica,Dagen Merrill,Tom Sizemore --- Sarah Habel --- Dominic Monaghan --- Phil Austin --- Tony Doupe --- Jennifer Spriggs --- Sarah-Eve Gazitt --- Hahn Cho --- ,
De plus belle,Anne-Gaëlle Daval,Florence Foresti --- Mathieu Kassovitz --- Jonathan Cohen --- Josée Drevon --- Olivia Bonamy --- Nicole Garcia --- Jeanne Astier --- ,
Dance Academy: The Movie,Jeffrey Walker,Xenia Goodwin --- Alicia Banit --- Dena Kaplan --- Thomas Lacey --- Keiynan Lonsdale --- Jordan Rodrigues --- Tara Morice --- Miranda Otto --- Nic Westaway --- Christian Byers --- Mackenzie Fearnley --- Tara Jade Borg --- ,
Rebel in the Rye,Danny Strong,Nicholas Hoult --- Kevin Spacey --- Sarah Paulson --- Zoey Deutch --- Hope Davis --- Victor Garber --- Brian d'Arcy James --- Lucy Boynton --- Caitlin Mehner --- Anna Bullard --- Keenan Jolliff --- Kristine Froseth --- Adam Busch --- David Berman --- James Urbaniak --- Eric Bogosian --- Amy Rutberg --- Bernard White --- Will Rogers --- Evan Hall --- Jimmy Smagula --- Celeste Arias --- Alyssa May Gold --- Francesca Root-Dodson --- Dana Drori --- Jenny Ashman --- Jefferson Mays --- Naian González Norvind --- ,
Nove lune e mezza,Michela Andreozzi,Claudia Gerini --- Michela Andreozzi --- Giorgio Pasotti --- Lillo Petrolo --- Stefano Fresi --- Alessandro Tiberi --- Paola Tiziana Cruciani --- Claudia Potenza --- Nunzia Schiano --- Massimiliano Vado --- Ladyvette --- Nello Mascia --- Arisa --- Elda Alvigini --- ,
Faces Places,Agnès Varda,JR,Agnès Varda --- JR --- ,
The Healer,Paco Arango,Oliver Jackson-Cohen --- Camilla Luddington --- Jonathan Pryce --- Jorge Garcia --- Kaitlyn Bernard --- Adrian G. Griffiths --- Jeremy Akerman --- Brian Downey --- Suresh John --- Richard Donat --- Michael Pellerin --- Pasha Ebrahimi --- Jennifer Morris --- Georgia Rudderham --- David Rossetti --- David Christoffel --- Christian Murray --- Glen Lefchak --- Jackie Torrens --- Gay Hauser --- ,
Bedeviled,Abel Vang,Burlee Vang,Saxon Sharbino --- Bonnie Morgan --- Brandon Soo Hoo --- Robyn Cohen --- Victory Van Tuyl --- Aaron Hendry --- Alexis G. Zall --- Kate Orsini --- Jordan Essoe --- Matty Finochio --- Mitchell Edwards --- Brett Wagner --- Angelina Armani --- Carson Boatman --- Camden Toy --- Billy Mayo --- Robert John Brewer --- Michael Shen --- Paula Lauzon --- Cole Duran --- Carzouapa Lee --- Brendan O'Connell --- ,
Terrified,Demián Rugna,Maxi Ghione --- Norberto Gonzalo --- Elvira Onetto --- George Lewis --- Julieta Vallina --- Demian Salomón --- Agustín Rittano --- Natalia Señorales --- Bruno Giacobbe --- Laura Manzaneda --- Ariel Chavarría --- ,
Hampstead,Joel Hopkins,Diane Keaton --- Brendan Gleeson --- James Norton --- Lesley Manville --- Jason Watkins --- Simon Callow --- Alistair Petrie --- Phil Davis --- Hugh Skinner --- Adeel Akhtar --- Rosalind Ayres --- Deborah Findlay --- Will Smith --- Brian Protheroe --- Peter Singh --- Jo Wheatley --- ,
7 Witches,Brady Hall,Persephone Apostolou --- Megan Hensley --- Macall Gordon --- Mike Jones --- Danika Golombek --- Nancy Frye --- Bill Ritchie --- Ben Van Dusen --- Ben Van Dusen --- Kris Keppeler --- Rory Ross --- Lorraine Montez --- Rod Pilloud --- Kay LaVergne Jaz --- Gordon Frye --- Maureen Hawkins --- Anna Giles --- Warren Roberts --- ,
Loveless,Andrey Zvyagintsev,Maryana Spivak --- Aleksey Rozin --- Matvey Novikov --- Marina Vasilyeva --- Andris Keiss --- Oleg Grisevich --- Polina Aug --- Sofya Sinitsyna --- Sergey Dvoynikov --- Dmitry Faynshteyn --- Varvara Shmykova --- ,
Boone The Bounty Hunter,Robert Kirbyson,John Hennigan --- Spencer Grammer --- Lorenzo Lamas --- Kevin Sorbo --- Dominique Swain --- Osric Chau --- Jonathan Lipnicki --- Richard Tyson --- Jane Park Smith --- Lesley Fera --- Quinton Jackson --- Juan Gabriel Pareja --- Lateef Crowder --- T.J. Storm --- Sarodj Bertin --- Del Zamora --- Madeleine Wade --- Stephanie Arellano --- Gino Montesinos --- Thom Rivera --- Jim Pacitti --- Hansel Ramírez --- ,
Sharing Christmas,Peter Sullivan,Ellen Hollman --- Bobby Campo --- Dave Koz --- Cynthia Gibb --- Melanie Nelson --- ,
Creep 2,Patrick Brice,Mark Duplass --- Desiree Akhavan --- Karan Soni --- Kyle Field --- Caveh Zahedi --- Jeff Man --- Patrick Brice --- ,
Wedding Unplanned,Reem Kherici,Reem Kherici --- Nicolas Duvauchelle --- Sylvie Testud --- Julia Piaton --- Chantal Lauby --- François-Xavier Demaison --- Lionnel Astier --- Ève Saint-Louis --- ,
From a House on Willow Street,Alastair Orr,Sharni Vinson --- Carlyn Burchell --- Steve John Ward --- Zino Ventura --- Nicole De Klerk --- Dimitri Bajlanis --- Gustav Gerdener --- Zelmia Bezuidenhout --- Ashish Gangapersad --- Monica Ann Fourie --- Ter Hollmann --- Gina Shmukler --- Mia Slabbert --- Jonathan Taylor --- ,
Godzilla: Planet of the Monsters,Hiroyuki Seshita,K�?bun Shizuno,Mamoru Miyano --- Takahiro Sakurai --- Kana Hanazawa --- Tomokazu Sugita --- Yuuki Kaji --- Junichi Suwabe --- ,
