Title,Director,Actors
The Predator,Shane Black,Boyd Holbrook --- Keegan-Michael Key --- Olivia Munn --- Thomas Jane --- Jake Busey --- Augusto Aguilera --- Trevante Rhodes --- Jacob Tremblay --- Sterling K. Brown --- Alfie Allen --- Lochlyn Munro --- Yvonne Strahovski --- Niall Matter --- Steve Wilder --- Andrew Jenkins --- Crystal Mudry --- Paul Lazenby --- Devielle Johnson --- RJ Fetherstonhaugh --- Rhys Williams --- Sean Kohnke --- Colin Corrigan --- Inka Malovic --- Patrick Sabongui --- Garry Chalk --- Dean Redman --- Eduard Witzke --- Harrison MacDonald --- Nikolas Dukic --- Jay Hector --- Kyle Strauts --- Anousha Alamian --- Marcio Moreno --- Javier Lacroix --- Sarah Ziolkowski --- Malcolm Masters --- Gabriel LaBelle --- Brian A. Prince --- Vin Asim --- Mathew Yanagiya --- J.C. Williams --- Byron Briscoe --- Kathryn Marie Robinson --- Kory Grim --- ,
The Christmas Chronicles,Clay Kaytis,Kurt Russell --- Goldie Hawn --- Judah Lewis --- Darby Camp --- Oliver Hudson --- Kimberly Williams-Paisley --- Steven Van Zandt --- Vella Lovell --- Lauren Collins --- Tom Kane --- David Kohlsmith --- Jack Bona --- Paskal Vaklev --- Abel Tekeste --- Jameson Kraemer --- Solla Park --- Seth Mohan --- Kayla Lakhani --- Glen McDonald --- Danielle Bourgon --- Tony Nappo --- Chai Valladares --- Jonathan Kim --- John Koo --- Lamorne Morris --- Martin Roach --- Ishan Morris --- Jeremy Raymond --- Chris LeBlanc --- Debra Wilson --- Kari Wahlgren --- Debi Derryberry --- Michael Yurchak --- Jessica Lowe --- Jeff Teravainen --- Elizabeth Phoenix Caro --- ,
Incredibles 2,Brad Bird,Craig T. Nelson --- Holly Hunter --- Sarah Vowell --- Huck Milner --- Samuel L. Jackson --- Eli Fucile --- Nicholas Bird --- Bob Odenkirk --- Catherine Keener --- Bill Wise --- Brad Bird --- Jonathan Banks --- Michael Bird --- Sophia Bush --- Phil LaMarr --- Paul Eiding --- Isabella Rossellini --- John Ratzenberger --- Barry Bostwick --- Jere Burns --- Adam Rodríguez --- Kimberly Adair Clark --- Usher --- Adam Gates --- LaTanya Richardson Jackson --- Debi Derryberry --- Fred Tatasciore --- Alyson Stoner --- Michael B. Johnson --- ,
The Equalizer 2,Antoine Fuqua,Denzel Washington --- Pedro Pascal --- Ashton Sanders --- Orson Bean --- Bill Pullman --- Melissa Leo --- Jonathan Scarfe --- Sakina Jaffrey --- Kazy Tauginas --- Garrett Golden --- Adam Karst --- Alican Barlas --- Rhys Olivia Cote --- Tamara Hickey --- Ken Baltin --- Colin Allen --- Antoine de Lartigue --- Abigail Marlowe --- Jim Loutzenhiser --- Alessandra Noelle Rosenfeld --- Lillie Dickens --- Rex Baning --- Lance A. Williams --- Caroline Day --- Rory Benjamin Smith --- Ted Arcidi --- Rutherford Cius --- Wesley Pereira --- David Carrasquillo --- Nathaniel Chaney --- Jermaine Holt --- Drew Cooper --- Jay Hieron --- Naheem Garcia --- Gloria Papert --- Phil Tavares --- Tim Doherty --- Cj Stuart --- Donald Cerrone --- Gabrielle Lorthe --- Karen Strong --- Marley Dauphin --- Elena Capaldi --- Penélope de la Rosa --- Miguel Nascimento --- Maximillian McNamara --- Gerry Pucci --- Phyllis Kay --- Johnny L. Hernandez --- Andrei Arlovski --- Liam McNeill --- ,
A Star Is Born,Bradley Cooper,Bradley Cooper --- Lady Gaga --- Sam Elliott --- Andrew Dice Clay --- Dave Chappelle --- Alec Baldwin --- Eddie Griffin --- Anthony Ramos --- Rafi Gavron --- Michael Harney --- Ron Rifkin --- Barry Shabaka Henley --- Michael D. Roberts --- Rebecca Field --- Willam Belli --- Greg Grunberg --- D.J. "Shangela" Pierce --- Drena De Niro --- Gabe Fazio --- Luenell --- Halsey --- Marlon Williams --- Brandi Carlile --- Jacob Schick --- ,
First Man,Damien Chazelle,Ryan Gosling --- Claire Foy --- Jason Clarke --- Kyle Chandler --- Corey Stoll --- Patrick Fugit --- Christopher Abbott --- Ciarán Hinds --- Olivia Hamilton --- Pablo Schreiber --- Shea Whigham --- Lukas Haas --- Ethan Embry --- Brian d'Arcy James --- Cory Michael Smith --- Kris Swanberg --- Gavin Warren --- Luke Winters --- Connor Blodgett --- Lucy Stafford --- J.D. Evermore --- Leon Bridges --- Steve Coulter --- Skyler Bible --- William Gregory Lee --- Choppy Guillotte --- Braydyn Nash Helms --- Edmund Grant --- Callie Brown --- Claire Smith --- Brady Smith --- John David Whalen --- Matthew Glave --- Rodney J. Hobbs --- Kermit Rolison --- Willie Repoley --- Ben Owen --- Jim Stearns --- James H. Williams --- William G. Tomek --- Helen S. Jackson --- Ambrit Millhouse --- Mark Armstrong --- Kevin Buttimer --- Dustin Lewis --- Robert Hatch --- Anna Chazelle --- Tyner Rushing --- Myra Brown --- Ronald Hicks --- Lawrence Jonasson --- Irina Labouz --- Anthony Paolucci --- Philip Boyd --- Stephanie Turner --- Timothy Batten --- Aurelien Gaya --- Todd Truley --- Mark Kelly --- Tim Olcott --- Andrea Maria Hintermaier --- Jamie Anne Allman --- Charles Carroll --- Brian Mahoney --- Donald Watkins --- Tess Oakland --- Michael Lee Kimel --- Ryan Clay Forbes --- Joshua Powell --- Thomas Clay Strickland --- Brad Kitchen --- Tim Harper --- Andrew Armstrong --- Kevin Johnson --- Damian Lovello --- Nelson Bonilla --- Shawn Eric Jones --- Andrew Stahl --- Mark Kirkman --- Brian David McCay --- Mark Schlichting --- Mark Yurgil --- Andrew Buckman --- Christopher Sgubin --- Greg Puckett --- Perry Zulu Jr. --- Kent Wagner --- Caroline Davis --- Katelyn Davis --- George Linkenback --- ,
Night School,Malcolm D. Lee,Kevin Hart --- Tiffany Haddish --- Rob Riggle --- Yvonne Orji --- Mary Lynn Rajskub --- Ben Schwartz --- Megalyn Echikunwoke --- Anne Winters --- Keith David --- Taran Killam --- Mason Guccione --- Romany Malco --- Bresha Webb --- Brooke Butler --- Matilda Del Toro --- Melissa LeEllen --- Al Madrigal --- Donna Biscoe --- David Dunston --- Owen Harn --- Brian Kayode-Patrick Johnson --- ,
The Girl in the Spider's Web,Fede Alvarez,Claire Foy --- Sverrir Gudnason --- Sylvia Hoeks --- Lakeith Stanfield --- Stephen Merchant --- Vicky Krieps --- Christopher Convery --- Claes Bang --- Synnøve Macody Lund --- Cameron Britton --- Mikael Persbrandt --- Carlotta von Falkenhayn --- Beau Gadsdon --- Andreja Pejic --- Hendrik Heutmann --- Volker Bruch --- ,
The House with a Clock in Its Walls,Eli Roth,Owen Vaccaro --- Jack Black --- Cate Blanchett --- Kyle MacLachlan --- Sunny Suljic --- Renée Elise Goldsberry --- Lorenza Izzo --- Charles Green --- Eli Roth --- Ricky Muse --- Colleen Camp --- Braxton Bjerken --- Perla Middleton --- Alli Beckman --- Demetri Landell --- Van Marten --- Jalyn Hall --- Aaron Beelner --- Vanessa Anne Williams --- Dylan Gage Moore --- Anela Terzic --- Garrett Strobl --- Caleb Lawrence --- Jack Giles IV --- ,
The Meg,Jon Turteltaub,Jason Statham --- Li Bingbing --- Rainn Wilson --- Cliff Curtis --- Winston Chao --- Shuya Sophia Cai --- Ruby Rose --- Page Kennedy --- Robert Taylor --- Ólafur Darri Ólafsson --- Jessica McNamee --- Masi Oka --- Raymond Vinton --- Mai Hongmei --- Wei Yi --- Vithaya Pansringarm --- Rob Kipa-Williams --- Tawanda Manyimo --- Mark Trotter --- James Gaylyn --- Andrew Grainger --- Steven A. Davis --- Glen Levy --- Edwin Wright --- Sui Fong Ivy Tsui --- Jeremy Tan --- Douglas Lee --- Tim Wong --- Yoson An --- Yao Yao --- Leand Macadaan --- Ismael Ocanago --- Dylan Thomas Knight --- ,
The Ballad of Buster Scruggs,Joel Coen,Ethan Coen,Tim Blake Nelson --- James Franco --- Liam Neeson --- Tom Waits --- Zoe Kazan --- Tyne Daly --- Brendan Gleeson --- Jonjo O'Neill --- Saul Rubinek --- Chelcie Ross --- Harry Melling --- Bill Heck --- Grainger Hines --- Stephen Root --- David Krumholtz --- Clancy Brown --- Ralph Ineson --- Matthew Willig --- Jesse Luken --- Paul Rae --- Tom Proctor --- Tim DeZarn --- E.E. Bell --- Martin Palmer --- Danny McCarthy --- Billy Lockwood --- Jackamoe Buzzell --- Sam Dillon --- Jefferson Mays --- J. Nathan Simmons --- Willie Watson --- Katy Bodenhamer --- Jiji Hise --- Austin Rising --- Stephen R. Estler --- Grace LeSueur --- Ethan Dubin --- ,
Ant-Man and the Wasp,Peyton Reed,Paul Rudd --- Evangeline Lilly --- Michael Peña --- Walton Goggins --- Bobby Cannavale --- Judy Greer --- T.I. --- David Dastmalchian --- Hannah John-Kamen --- Abby Ryder Fortson --- Randall Park --- Michelle Pfeiffer --- Laurence Fishburne --- Michael Douglas --- Divian Ladwa --- Goran Kostić --- Rob Archer --- Sean Kleier --- Benjamin Byron Davis --- Michael Cerveris --- Riann Steele --- Dax Griffin --- Hayley Lovitt --- Langston Fishburne --- RaeLynn Bratten --- Madeleine McGraw --- Tim Heidecker --- Stan Lee --- Charles Justo --- Brian Huskey --- Suehyla El-Attar --- Julia Vera --- Jessica Winther --- Norwood J. Cheek Jr. --- Bryan Lugo --- Darcy Shean --- Torrey Vogel --- Simon Potter --- Jon Wurster --- Tom Scharpling --- Virginia Hamilton --- Natasha Zouves --- Joshua Mikel --- Ronald Joe Vasquez --- Chris Gann --- Sergio Briones --- Denney Pierce --- Vanessa Ross --- Zachary Culbertson --- Steven Wiig --- Timothy Carr --- Sawyer Jones --- Rick Richardson --- Benjamin Weaver --- Jamel Chambers --- Jennifer Black --- Sandra Dee Richardson --- Tahseen Ghauri --- Dale Liner --- John Ozuna --- Marcella Bragio --- Sophia Marcs --- William W. Barbour --- Kevin Carscallen --- Seth McCracken --- ,
Overlord,Julius Avery,Pilou Asbæk --- Wyatt Russell --- Jacob Anderson --- Bokeem Woodbine --- John Magaro --- Iain De Caestecker --- Jovan Adepo --- Michael Epp --- Marc Rissmann --- Dominic Applewhite --- Éva Magyar --- Andy Wareham --- Mathilde Ollivier --- ,
Robin Hood,Otto Bathurst,Taron Egerton --- Jamie Foxx --- Ben Mendelsohn --- Eve Hewson --- Jamie Dornan --- Tim Minchin --- Paul Anderson --- Björn Bengtsson --- Josh Herdman --- Roderick Hill --- F. Murray Abraham --- ,
Searching,Aneesh Chaganty,John Cho --- Michelle La --- Debra Messing --- Joseph Lee --- Sara Sohn --- Briana McLean --- Thomas Barbusca --- Erica Jenkins --- Connor McRaith --- Dominic Hoffman --- Ric Sarabia --- Steven Michael Eich --- Melissa Disney --- Roy Abramsohn --- Sean O'Bryan --- Benjamin J. Cain Jr. --- Alex Jayne Go --- Megan Liu --- Kya Dawn Lau --- Colin Woodell --- Reed Buck --- Brad Abrell --- Courtney Lauren Cummings --- Sylvia Minassian --- ,
Mile 22,Peter Berg,Mark Wahlberg --- Lauren Cohan --- Iko Uwais --- John Malkovich --- Ronda Jean Rousey --- Carlo Albán --- Natasha Goubskaya --- Lee Chae-lin --- Sam Medina --- Keith Arthur Bolden --- Jenique Hendrix --- Billy Smith --- Myke Holmes --- Emily Skeggs --- Terry Kinney --- Brandon Scales --- Poorna Jagannathan --- Peter Berg --- Elle Graham --- Nikolai Nikolaeff --- Cedric Gervais --- Alexandra Vino --- ,
Alpha,Albert Hughes,Morgan Freeman --- Kodi Smit-McPhee --- Jóhannes Haukur Jóhannesson --- Marcin Kowalczyk --- Jens Hultén --- Natassia Malthe --- Spencer Bogaert --- Mercedes de la Zerda --- Leonor Varela --- Priya Rajaratnam --- Nashon Douglas --- Michael Kruse-Dahl --- Kyle Glenn Thomas --- Nestor de la Zerda --- Louis Lay --- Patrick Flanagan --- Blake Point --- Taran Kootenhayoo --- ,
Crazy Rich Asians,Jon M. Chu,Constance Wu --- Henry Golding --- Michelle Yeoh --- Gemma Chan --- Lisa Lu --- Awkwafina --- Harry Shum Jr. --- Ken Jeong --- Sonoya Mizuno --- Chris Pang --- Jimmy O. Yang --- Ronny Chieng --- Remy Hii --- Nico Santos --- Jing Lusi --- Carmen Soo --- Constance Lau --- Pierre Png --- Fiona Xie --- Victoria Loke --- Janice Koh Yu-Mei --- Amy Cheng --- Chieng Mun Koh --- Tan Kheng Hua --- Selena Tan --- Kris Aquino --- Peter Carroll --- ,
Jurassic World: Fallen Kingdom,J. A. Bayona,Chris Pratt --- Bryce Dallas Howard --- Rafe Spall --- Justice Smith --- Daniella Pineda --- James Cromwell --- Toby Jones --- Ted Levine --- Jeff Goldblum --- BD Wong --- Geraldine Chaplin --- Isabella Sermon --- Peter Jason --- Charlie Rawes --- Kevin Layne --- Robert Emms --- John Schwab --- Sam Redford --- Patrick Crowley --- Alex Dower --- Honey Holmes --- Neil Bishop --- Philippa Thomas --- Ronan Summers --- Cory Peterson --- Jeremy Gilbert --- Victor Gardener --- Eric Kofi Abrefa --- Ben Peel --- Gil Kolirin --- Mitchell L. Johnson --- Paul Sockett --- Daryl Kwan --- Michael Papajohn --- Daniel Stisen --- ,
Hunter Killer,Donovan Marsh,Gerard Butler --- Common --- Michael Nyqvist --- Mikhail Gorevoy --- Gary Oldman --- Toby Stephens --- Zane Holtz --- Linda Cardellini --- Ryan McPartlin --- Michael Trucco --- Caroline Goodall --- David Gyasi --- Gabriel Chavarria --- Carter MacIntyre --- Taylor John Smith --- Henry Goodman --- Colin Stinton --- Shane Taylor --- Will Attenborough --- Christopher Goh --- Sarah Middleton --- Adam James --- ,
Halloween,David Gordon Green,Jamie Lee Curtis --- Andi Matichak --- Nick Castle --- Judy Greer --- Haluk Bilginer --- Will Patton --- James Jude Courtney --- Rhian Rees --- Jefferson Hall --- Toby Huss --- Virginia Gardner --- Dylan Arnold --- Miles Robbins --- Drew Scheid --- Jibrail Nantambu --- Christopher Allen Nelson --- Omar J. Dorsey --- Hannah Russell --- Charlie Benton --- Carmela McNeal --- Jared Moser --- Marian Green --- Diva Tyler --- Vince Mattis --- Pedro Lopez --- Koby Griffin --- Chris Holloway --- Rob Niter --- Omar Azimi --- Michael Harrity --- Brittani Cox --- Edward Stachyra --- Michael Smallwood --- David Lowe --- Johnny Price --- Brien Gregorie --- Ranisha Wood --- Matthew Anderson --- Angela Anderson --- W.F. Bell --- Willie Tyrone Ferguson --- Aaron Christian Paderewski --- Anthony Woodle --- ,
Outlaw King,David Mackenzie,Chris Pine --- Aaron Taylor-Johnson --- Florence Pugh --- Tony Curran --- Stephen Dillane --- Sam Spruell --- Stephen McCole --- Duncan Lacroix --- Clive Russell --- Vicki Liddelle --- Gilly Gilchrist --- Niall Greig Fulton --- Rebecca Robin --- James Cosmo --- Steven Cree --- Callan Mulvey --- Billy Howle --- Rab Affleck --- Tam Dean Burn --- Alastair Mackenzie --- Jonny Phillips --- Lorne MacFadyen --- Gavin Mitchell --- Paul Blair --- Ron Donachie --- Jenny Hulse --- Jack Greenlees --- Chris Fulton --- Elaine McKergow --- Josie O'Brien --- Ben Clifford --- Jamie Maclachlan --- Stephen McMillan --- Margaret Fraser --- Daniel Campbell --- ,
Aan Devathai,Thamira,Samuthirakani --- Ramya Pandian --- Kavin Raj --- Kasturi Shankar --- Ilavarasu --- 'Poo' Ram --- Hareesh Peradi --- Aranthangi Nisha --- ,
The Happytime Murders,Brian Henson,Melissa McCarthy --- Elizabeth Banks --- Maya Rudolph --- Leslie David Baker --- Joel McHale --- Cynthy Wu --- Michael McDonald --- Mitch Silpa --- Hemky Madera --- Benjamin Cole Royer --- Brekkan Spens --- Ryan Tran --- Fortune Feimster --- Brian Palermo --- Damon Jones --- Ryan Gaul --- Jimmy O. Yang --- Dennis Keiffer --- Jim Palmer --- Michael Croner --- Barry Rothbart --- Steve Mallory --- Jaye Razor --- Brett Wagner --- Colleen Smith --- Ben Falcone --- Bill Barretta --- Dorien Davies --- Kevin Clash --- Victor Yerrid --- Drew Massey --- Ted Michaels --- Brian Henson --- Patty Guggenheim --- Donna Kimball --- Alice Dinnean --- Allan Trautman --- ,
Black Panther,Ryan Coogler,Chadwick Boseman --- Michael B. Jordan --- Lupita Nyong'o --- Danai Gurira --- Martin Freeman --- Daniel Kaluuya --- Letitia Wright --- Winston Duke --- Angela Bassett --- Forest Whitaker --- Andy Serkis --- John Kani --- Sterling K. Brown --- Seth Carr --- Denzel Whitaker --- Florence Kasumba --- Isaach De Bankolé --- Danny Sapani --- Sydelle Noel --- Janeshia Adams-Ginyard --- Jénel Stevens --- Shaunette Renée Wilson --- Stan Lee --- Sebastian Stan --- Bambadjan Bamba --- Jeremy Sample --- Sope Aluko --- Alexis Rhee --- Tahseen Ghauri --- Danny Chung --- David S. Lee --- Mark Ashworth --- Shad Gaspard --- William Cowboy Reed --- Alex Hibbert --- Lucy Hockings --- Ashton Tyler --- Atandwa Kani --- Connie Chiume --- Dorothy  Steel --- Marija Abney --- Maria Hippolyte --- Marie Mouroum --- Zola Williams --- Christine Hollingsworth --- Nabiyah Be --- Michael David Yuhl --- Elizabeth Elkins --- Raven Wynn --- Amechi Okocha --- Tony Sears --- Francesca Faridany --- Roland Kilumbu --- Timothy Carr --- Apollo GT --- James Siderits --- Travis Love --- Lidya Jewett --- Alona Leoine --- Kinley Fleurejuste --- Ofu Obekpa --- Michael R. Ciminna --- John Y Lee --- Byron Coolie --- William Walker --- Joseph Akharoh Jr. --- Stanley Aughtry --- Raenen Golez --- Leo De Rivera --- Tevin Beech --- Tari Omoro --- Andrea Antonio Canal --- David Dunston --- Emelita T. Gonzalez --- Josue Louis-Charles --- Isaac Phillips --- Trevor Noah --- Jamel Chambers --- Michael Christopher Rodney --- ,
