Title,Director,Actors
Fantastic Beasts: The Crimes of Grindelwald,David Yates,Eddie Redmayne --- Katherine Waterston --- Alison Sudol --- Dan Fogler --- Jude Law --- Ezra Miller --- Johnny Depp --- Zoë Kravitz --- Callum Turner --- Claudia Kim --- Carmen Ejogo --- Jessica Williams --- William Nadylam --- Ingvar Eggert Sigurðsson --- Ólafur Darri Ólafsson --- Kevin Guthrie --- Brontis Jodorowsky --- Tim Ingall --- Deano Bugatti --- Derek Riddell --- David Sakurai --- Fiona Glascott --- Wolf Roth --- Victoria Yeates --- Poppy Corby-Tuech --- Cornell John --- Callum Forman --- Bernardo Santos --- Sabine Crossen --- Johanna Thea --- Alexandra Ford --- Donna Preston --- Jag Patel --- Nasir Jama --- Liv Hansen --- Jason Redshaw --- Annarie Boor --- Deepak Anand --- Nick Owenford --- Jeremy Oliver --- Dave Simon --- Aykut Hilmi --- Andrew Blackall --- Simon Wan --- Phil Hodges --- Stephen McDade --- Israel Ruiz --- Michael Haydon --- Linda Santiago --- Sean Gislingham --- Tahir Burhan --- Sean Coleman --- Adrian Wheeler --- Morrison Thomas --- Andrew Turner --- Natalie Lauren --- Alfrun Rose --- Jan Freygang --- Ryan Hannaford --- Connor Wolf --- Maja Bloom --- Andy Summers --- Olwen Fouéré --- Simon Meacock --- David Wilmot --- Ed Gaughan --- Jamie Campbell Bower --- Toby Regbo --- Hugh Quarshie --- Isaura Barbé-Brown --- Keith Chanter --- Tristan Mamasakhlisashvili --- ,
Venom,Ruben Fleischer,Tom Hardy --- Michelle Williams --- Riz Ahmed --- Scott Haze --- Reid Scott --- Jenny Slate --- Melora Walters --- Woody Harrelson --- Chris O'Hara --- Christian Convery --- Sope Aluko --- Scott Deckert --- Stan Lee --- Marcella Bragio --- Michelle Lee --- Mac Brandt --- Sam Medina --- Ron Cephas Jones --- Vickie Eng --- Jared Bankens --- Al-Jaleel Knox --- Grace Wan --- DJames Jones --- Jock McKissic --- Daniela Gaskie --- Apollo GT --- Van Marten --- Sailor Larocque --- Paul Pillsbury --- Kayko Thompson --- Laura Distin --- Wayne Pére --- Ellen Gerstein --- Peter Vo --- Donald K. Overstreet --- William W. Barbour --- Brandon Morales --- Michelle Fang --- Jane McNeill --- Selena Anduze --- Otis Winston --- Martin Bats Bradford --- Chris Ward --- Brandon Morales --- Etienne Vick --- Peggy Lu --- Diesel Madkins --- James J. Fuertes --- Amy Le --- Boston Rush Freeman --- Carl Collanus --- Patrick Brown --- Emelita T. Gonzalez --- Ariadne Joseph --- Carter Burch --- Khalid Ghajji --- Elizabeth Becka --- Joseph Amey --- Denney Pierce --- Chris Stein --- Cassie Hendry --- Phillip Marshall Tyler --- Tsi Chin Li-McCall --- James D. Weston II --- John Gettier --- Jake Hanson --- Kevin Carscallen --- Marquis Magwood --- Homero Lopez --- Ronnie Yelverton --- Ray Benitez --- John Ozuna --- Mary Lu Marr --- John Lobato --- Elgin Lee --- David King --- Paul Barlow Jr. --- Vaughn Myovich --- Rxchie --- Tianna Hazard --- Megan Aldrich --- Yvette Miner --- Buddy Rahming --- Deen Brooksher --- Michael Burgess --- Patrick Chundah Chu --- Jordan Foster --- David Jones --- Amelia Young --- Javier Vazquez Jr. --- Wade Williams --- Nick Thune --- David Fleischer --- ,
The Seven Deadly Sins: Prisoners of the Sky,Noriyuki Abe,Yasuto Nishikata,Tatsuhisa Suzuki --- Yuuki Kaji --- Jun Fukuyama --- Sora Amamiya --- Misaki Kuno --- Aoi Yuki --- Tomokazu Sugita --- Maaya Sakamoto --- ,
Mission: Impossible - Fallout,Christopher McQuarrie,Tom Cruise --- Rebecca Ferguson --- Michelle Monaghan --- Ving Rhames --- Henry Cavill --- Simon Pegg --- Wes Bentley --- Sean Harris --- Angela Bassett --- Vanessa Kirby --- Frederick Schmidt --- Alec Baldwin --- Liang Yang --- Kristoffer Joner --- Wolf Blitzer --- Dean Ashton --- Alix Bénézech --- Joey Ansah --- Velibor Topic --- Alexandre Poole --- Andrew Cazanave Pin --- Christophe de Choisy --- Guy Remy --- Jean Baptiste Fillon --- Maximilian Geller --- Olivier Huband --- Raphael Desprez --- Raphael Joner --- Thierry Picaut --- Vincent Latorre --- Harvey Djent --- Grahame Fox --- David Mumeni --- Charlie Archer --- Caspar Phillipson --- Ffion Jolly --- Lolly Adefope --- Ross O'Hennessy --- Russ Bain --- Nigel Allen --- Tracey Saunders --- Alicia Mencía Castaño --- Conny Sharp --- Jessie Vinning --- Stuart Davidson --- Julianne Binard --- Bernardo Santos --- Lampros Kalfuntzos --- ,
Bohemian Rhapsody,Bryan Singer,Dexter Fletcher,Rami Malek --- Gwilym Lee --- Ben Hardy --- Joseph Mazzello --- Lucy Boynton --- Aidan Gillen --- Allen Leech --- Tom Hollander --- Mike Myers --- Aaron McCusker --- Meneka Das --- Ace Bhatti --- Priya Blackburn --- Dermot Murphy --- Dickie Beau --- Jess Radomska --- Neil Fox-Roberts --- Philip Andrew --- Matthew Houston --- Michelle Duncan --- Max Bennett --- Adam Rauf --- Scott Morrison Watson --- Devlin Lloyd --- Garry Summers --- Matthew Fredricks --- Stefan Kopiecki --- Pat Lally --- Ian Jareth Williamson --- Johanna Thea --- Adam Lazarus --- Peter Vo --- Lasco Atkins --- ,
The Grinch,Yarrow Cheney,Scott Mosier,Benedict Cumberbatch --- Cameron Seely --- Pharrell Williams --- Rashida Jones --- Angela Lansbury --- Kenan Thompson --- Scott Mosier --- Tristan O'Hare --- Sam Lavagnino --- Ramone Hamilton --- Scarlett Estevez --- Michael Beattie --- Lori Alan --- Carter Hastings --- Carlos Alazraqui --- John Kassir --- Doug Burch --- Evan Kishiyama --- Cathy Cavadini --- Danny Mann --- Tucker Chandler --- Tristan Mamasakhlisashvili --- ,
Ralph Breaks the Internet,Rich Moore,Phil Johnston,John C. Reilly --- Sarah Silverman --- Gal Gadot --- Taraji P. Henson --- Alan Tudyk --- Jack McBrayer --- Jane Lynch --- Phil Johnston --- Paige O'Hara --- Irene Bedard --- Mandy Moore --- Auli'i Cravalho --- Kristen Bell --- Idina Menzel --- Kelly Macdonald --- Anika Noni Rose --- Linda Larkin --- Jodi Benson --- Ming-Na Wen --- Jennifer Hale --- Anthony Daniels --- Ana Ortiz --- Alfred Molina --- Ed O'Neill --- Ali Wong --- Peter Cullen --- Roger Craig Smith --- Colleen Ballinger --- Rebecca Wisocky --- Flula Borg --- Timothy Simons --- Kate Higgins --- Tim Allen --- Mark Smith --- Rich Moore --- Jamie Elman --- Dani Fernandez --- Pamela Ribon --- Hamish Blake --- Glozell Green --- Tiffany Herrera --- Della Saba --- Kent Boyd --- Rachel Crow --- June Squibb --- John DiMaggio --- Dianna Agron --- Jason Mantzoukas --- Roger Craig Smith --- Brad Garrett --- Corey Burton --- Vin Diesel --- Bill Hader --- Nicole Scherzinger --- ,
The Nun,Corin Hardy,Bonnie Aarons --- Taissa Farmiga --- Demián Bichir --- Jonas Bloquet --- Charlotte Hope --- Ingrid Bisu --- Jonny Coyne --- Sandra Teles --- August Maturo --- Michael Smiley --- Dee Bradley Baker --- Debra Wilson --- Mark Steger --- Gabrielle Downey --- David Horovitch --- Lili Bordán --- Daniel Mandehr --- Christof Veillon --- Jared Morgan --- Boiangiu Alma --- Lidiya Korotko --- Tudor Munteanu --- Manuela Ciucur --- Jack Falk --- Lynnette Gaza --- Ani Sava --- Scarlett Hicks --- Izzie Coffey --- Laur Dragan --- Eugeniu Cozma --- Beatrice Péter --- Ana Udroiu --- Andreea Sovan --- Dana Voicu --- Andreea Moldovianu --- Beatrice Rubica --- Claudia Susanu --- ,
Avengers: Infinity War,Joe Russo,Anthony Russo,Robert Downey Jr. --- Chris Hemsworth --- Mark Ruffalo --- Chris Evans --- Scarlett Johansson --- Don Cheadle --- Benedict Cumberbatch --- Tom Holland --- Chadwick Boseman --- Zoe Saldana --- Karen Gillan --- Tom Hiddleston --- Paul Bettany --- Elizabeth Olsen --- Anthony Mackie --- Sebastian Stan --- Idris Elba --- Danai Gurira --- Peter Dinklage --- Benedict Wong --- Pom Klementieff --- Dave Bautista --- Vin Diesel --- Bradley Cooper --- Gwyneth Paltrow --- Benicio del Toro --- Josh Brolin --- Chris Pratt --- Sean Gunn --- William Hurt --- Letitia Wright --- Terry Notary --- Tom Vaughan-Lawlor --- Carrie Coon --- Michael James Shaw --- Stan Lee --- Winston Duke --- Florence Kasumba --- Kerry Condon --- Monique Ganderton --- Jacob Batalon --- Tiffany Espensen --- Isabella Amara --- Ethan Dizon --- Ariana Greenblatt --- Ameenah Kaplan --- Ross Marquand --- Michael Anthony Rogers --- Stephen McFeely --- Aaron Lazar --- Robert Pralgo --- Olaniyan Thurmon --- Blair Jasin --- Matthew Zuk --- Laura Miller --- Kenneth Branagh --- Samuel L. Jackson --- Cobie Smulders --- ,
Peppermint,Pierre Morel,Jennifer Garner --- Tyson Ritter --- John Gallagher Jr. --- John Ortiz --- Annie Ilonzeh --- Method Man --- Tony Jacobsen --- Cailey Fleming --- Jeff Hephner --- Juan Pablo Raba --- Ian Casselberry --- Richard Cabral --- Johnny Ortiz --- Michael Reventar --- Gustavo Quiroz Jr. --- Pell James --- John Boyd --- Michael Mosley --- Jeff Harlan --- Chris Johnson --- Edilsy Vargas --- Kyla Drew Simmons --- Caspar Brun --- YaYa Gosselin --- ,
